# time, R, alfa_r, veloc, accel
116.90,6410152.55532029,0.00920091,671.47081721,-9.70333118
117.00,6410153.71851428,0.00921139,671.44354135,-9.70317621
117.10,6410154.78538605,0.00922186,671.41765905,-9.70302165
117.20,6410155.75593712,0.00923233,671.39317025,-9.70286749
117.30,6410156.63016899,0.00924281,671.37007486,-9.70271373
117.40,6410157.40808320,0.00925328,671.34837281,-9.70256034
117.50,6410158.08968124,0.00926375,671.32806400,-9.70240734
117.60,6410158.67496462,0.00927422,671.30914833,-9.70225470
117.70,6410159.16393483,0.00928470,671.29162568,-9.70210243
117.80,6410159.55659338,0.00929517,671.27549595,-9.70195052
117.90,6410159.85294177,0.00930564,671.26075900,-9.70179895
118.00,6410160.05298147,0.00931611,671.24741471,-9.70164773
118.10,6410160.15671399,0.00932658,671.23546292,-9.70149685
118.20,6410160.16414080,0.00933705,671.22490349,-9.70134629
118.30,6410160.07526338,0.00934753,671.21573625,-9.70119606
118.40,6410159.89008322,0.00935800,671.20796104,-9.70104614
118.50,6410159.60860179,0.00936847,671.20157767,-9.70089653
118.60,6410159.23082056,0.00937894,671.19658598,-9.70074722
118.70,6410158.75674101,0.00938941,671.19298575,-9.70059820
118.80,6410158.18636459,0.00939988,671.19077679,-9.70044947
118.90,6410157.51969279,0.00941035,671.18995888,-9.70030103
119.00,6410156.75672705,0.00942082,671.19053181,9.70015285
119.10,6410155.89746883,0.00943129,671.19249535,9.70000494
119.20,6410154.94191961,0.00944176,671.19584926,9.69985730
119.30,6410153.89008082,0.00945223,671.20059330,9.69970990
119.40,6410152.74195393,0.00946270,671.20672721,9.69956275
119.50,6410151.49754038,0.00947317,671.21425073,9.69941584
119.60,6410150.15684162,0.00948364,671.22316358,9.69926916
119.70,6410148.71985909,0.00949411,671.23346550,9.69912271
119.80,6410147.18659425,0.00950457,671.24515619,9.69897647
119.90,6410145.55704854,0.00951504,671.25823536,9.69883044
120.00,6410143.83122339,0.00952551,671.27270269,9.69868462
120.10,6410142.00912024,0.00953598,671.28855788,9.69853900
120.20,6410140.09074053,0.00954645,671.30580061,9.69839356
120.30,6410138.07608570,0.00955692,671.32443053,9.69824831
120.40,6410135.96515718,0.00956738,671.34444732,9.69810324
120.50,6410133.75795639,0.00957785,671.36585063,9.69795833
120.60,6410131.45448478,0.00958832,671.38864009,9.69781359
120.70,6410129.05474377,0.00959879,671.41281534,9.69766900
120.80,6410126.55873479,0.00960925,671.43837601,9.69752456
120.90,6410123.96645927,0.00961972,671.46532172,9.69738026
121.00,6410121.27791862,0.00963019,671.49365207,9.69723609
121.10,6410118.49311428,0.00964065,671.52336666,9.69709205
121.20,6410115.61204767,0.00965112,671.55446509,9.69694813
121.30,6410112.63472021,0.00966159,671.58694694,9.69680433
121.40,6410109.56113333,0.00967205,671.62081178,9.69666063
121.50,6410106.39128843,0.00968252,671.65605917,9.69651702
121.60,6410103.12518695,0.00969299,671.69268868,9.69637351
121.70,6410099.76283031,0.00970345,671.73069985,9.69623008
121.80,6410096.30421991,0.00971392,671.77009222,9.69608673
121.90,6410092.74935719,0.00972438,671.81086533,9.69594345
122.00,6410089.09824355,0.00973485,671.85301869,9.69580024
122.10,6410085.35088041,0.00974531,671.89655181,9.69565707
122.20,6410081.50726920,0.00975578,671.94146421,9.69551396
122.30,6410077.56741133,0.00976624,671.98775537,9.69537089
122.40,6410073.53130821,0.00977671,672.03542480,9.69522785
122.50,6410069.39896126,0.00978717,672.08447195,9.69508483
122.60,6410065.17037191,0.00979764,672.13489631,9.69494184
122.70,6410060.84554155,0.00980810,672.18669734,9.69479886
122.80,6410056.42447162,0.00981857,672.23987449,9.69465588
122.90,6410051.90716353,0.00982903,672.29442720,9.69451290
123.00,6410047.29361869,0.00983949,672.35035490,9.69436991
123.10,6410042.58383852,0.00984996,672.40765704,9.69422690
123.20,6410037.77782445,0.00986042,672.46633302,9.69408386
123.30,6410032.87557788,0.00987088,672.52638225,9.69394079
123.40,6410027.87710024,0.00988135,672.58780413,9.69379769
123.50,6410022.78239295,0.00989181,672.65059807,9.69365453
123.60,6410017.59145743,0.00990227,672.71476343,9.69351132
